Player Name,Predicted Fantasy Value
Rayjon Tucker,98.0
Nikola Jokic,70.14
Joel Embiid,66.54
Luka Garza,64.67
Vernon Carey Jr.,64.0
T.J. McConnell,63.0
Josh Hart,62.89
Kevin Durant,62.43
Jared Harper,62.17
Pascal Siakam,60.35
Obi Toppin,57.02
Kevin Porter Jr.,56.82
LaMelo Ball,56.6
Luka Doncic,55.83
Trae Young,55.68
Jaylen Brown,55.23
Victor Oladipo,54.01
Giannis Antetokounmpo,53.8
Jaylen Hoard,53.12
Javonte Smart,52.0
Domantas Sabonis,51.74
LeBron James,51.65
Paul George,51.4
Mychal Mulder,51.0
Kristaps Porzingis,50.87
Shai Gilgeous-Alexander,50.42
Gabriel Lundberg,50.4
Jayson Tatum,50.36
Tyrese Haliburton,49.92
Davion Mitchell,48.75
Zavier Simpson,48.1
Theo Pinson,47.67
Georgios Kalaitzakis,47.6
De'Aaron Fox,47.52
Klay Thompson,47.5
Santi Aldama,47.2
Anfernee Simons,47
Kyle Lowry,46.56
Keldon Johnson,46.1
Anthony Davis,45.83
Dejounte Murray,45.44
Damian Jones,44.93
Russell Westbrook,44.39
James Harden,44.13
Devin Booker,43.32
Anthony Edwards,43.19
Darius Garland,43.18
Jimmy Butler,43.06
Theo Maledon,42.99
Bruce Brown,42.26
Chris Paul,41.86
Fred VanVleet,41.86
Aaron Gordon,41.73
Draymond Green,41.67
Kyrie Irving,41.38
Paul Reed,41.33
Wendell Carter Jr.,41.28
Drew Eubanks,41.07
Malcolm Hill,41.0
Immanuel Quickley,40.94
Desmond Bane,40.83
Rudy Gobert,40.73
Xavier Moon,40.2
Oshae Brissett,39.7
Tyrese Maxey,39.6
Mike Conley,39.33
Jalen Green,39.05
Andre Drummond,38.72
Clint Capela,38.7
Miles Bridges,38.68
Karl-Anthony Towns,38.44
Al Horford,38.19
Aleksej Pokusevski,38.17
Reggie Perry,38.0
Isaiah Roby,37.91
Tre Mann,37.78
Brook Lopez,37.41
Patrick Williams,37.16
Jordan Poole,36.97
DeMar DeRozan,36.55
Bam Adebayo,36.43
Jaren Jackson Jr.,36.41
Gary Trent Jr.,36.18
Donovan Mitchell,36.05
Deandre Ayton,36.04
Tre Jones,35.68
Dillon Brooks,35.35
Hamidou Diallo,35.33
Greg Monroe,35.1
Devin Vassell,34.95
Tyus Jones,34.84
Jonas Valanciunas,34.55
Bogdan Bogdanovic,34.51
Jakob Poeltl,34.5
Isaiah Hartenstein,34.35
Sandro Mamukelashvili,34.32
Mo Bamba,34.29
Ben McLemore,34.25
Markelle Fultz,34.25
Olivier Sarr,33.76
Killian Hayes,33.68
Khris Middleton,33.43
Dennis Schroder,33.4
Mitchell Robinson,33.26
Braxton Key,33.13
Neemias Queta,33.0
Tobias Harris,32.88
Bones Hyland,32.87
Alperen Sengun,32.86
Buddy Hield,32.58
Jrue Holiday,32.58
Goga Bitadze,32.53
Kevin Huerter,32.34
Deni Avdija,32.22
Talen Horton-Tucker,32.22
Will Barton,32.06
Trendon Watford,31.91
Jalen Brunson,31.86
Danilo Gallinari,31.84
Rajon Rondo,31.79
Kevin Love,31.73
Christian Wood,31.7
Saben Lee,31.63
Tyler Herro,31.53
Caris LeVert,31.36
Malik Monk,31.3
Zach Collins,30.98
Dwight Howard,30.92
De'Anthony Melton,30.89
Ish Wainright,30.87
Robert Williams III,30.87
Lindell Wigginton,30.86
Nemanja Bjelica,30.86
Isaiah Jackson,30.68
Kelly Olynyk,30.52
P.J. Washington,30.3
Dorian Finney-Smith,30.26
Luke Kennard,30.23
Cade Cunningham,30.22
Jerami Grant,30.22
Daniel Theis,30.01
Jalen McDaniels,29.7
Evan Mobley,29.62
Chuma Okeke,29.56
Stephen Curry,29.54
Alec Burks,29.5
Terry Rozier,29.4
Shake Milton,29.37
Hassan Whiteside,29.2
Josh Richardson,29.09
Chimezie Metu,29.08
Payton Pritchard,28.74
Zach LaVine,28.54
Vit Krejci,28.44
Thaddeus Young,28.31
Kentavious Caldwell-Pope,28.29
Robert Covington,28.25
Austin Reaves,28.06
Jalen Smith,27.8
Dwight Powell,27.77
Isaiah Stewart,27.75
Marcus Smart,27.61
Steven Adams,27.56
Jordan Clarkson,27.31
Daniel Gafford,27.16
Rui Hachimura,26.9
Donte DiVincenzo,26.84
Lauri Markkanen,26.8
Nicolas Batum,26.75
Keon Johnson,26.61
Brandon Boston Jr.,26.56
Markus Howard,26.46
Terry Taylor,26.44
Markieff Morris,26.36
Ja Morant,26.28
RJ Barrett,26.16
Josh Christopher,26.15
Moritz Wagner,26.05
CJ McCollum,26.02
Brandon Clarke,26.01
D'Angelo Russell,26.0
Jae Crowder,25.94
Marvin Bagley III,25.94
Jericho Sims,25.88
Ignas Brazdeikis,25.81
Ish Smith,25.54
Corey Kispert,25.51
Evan Fournier,25.44
Isaiah Livers,25.43
Scottie Barnes,25.38
Ziaire Williams,25.18
Herbert Jones,25.11
Tomas Satoransky,25.05
Norman Powell,25.0
Jaxson Hayes,24.97
Cody Martin,24.94
Ivica Zubac,24.86
Amir Coffey,24.85
Monte Morris,24.83
Patrick Beverley,24.71
Kyle Anderson,24.68
Nic Claxton,24.62
Lindy Waters III,24.62
Thanasis Antetokounmpo,24.47
Danny Green,24.47
Lance Stephenson,24.43
John Konchar,24.38
Justin Champagnie,24.0
Seth Curry,23.93
OG Anunoby,23.9
Matisse Thybulle,23.83
Rodney McGruder,23.82
Devin Cannady,23.8
Onyeka Okongwu,23.51
Cam Reddish,23.33
Bruno Fernando,23.25
Darius Bazley,23.24
Jeremiah Robinson-Earl,23.2
Delon Wright,23.15
Juancho Hernangomez,22.8
Bobby Portis,22.78
Derrick White,22.73
Montrezl Harrell,22.71
Gary Payton II,22.64
Max Strus,22.64
Nikola Vucevic,22.54
CJ Elleby,22.47
Goran Dragic,22.26
Moses Brown,22.15
R.J. Hampton,22.14
Rudy Gay,22.07
Andrew Wiggins,22.07
Mason Jones,22.0
Wayne Ellington,21.91
Luke Kornet,21.81
Garrison Mathews,21.79
Julius Randle,21.76
Gary Harris,21.75
Trey Lyles,21.32
Yves Pons,21.2
Greg Brown III,21.05
Saddiq Bey,20.92
Marcus Morris Sr.,20.92
Nathan Knight,20.9
Chris Boucher,20.89
Jamorko Pickett,20.82
Ayo Dosunmu,20.57
Wenyen Gabriel,20.49
